"Lp","Id","Nazwa instytucji","Data utworzenia / data wpisu do ewiencji uczelni niepublicznych","Organ nadzorujący","Rodzaj instytucji","Państwowy Instytut Badawczy","Rok od kiedy Państwowy Instytut Badawczy","Data postawienia w stan likwidacji","Data likwidacji","Typ uczelni","Typ instytucji naukowej","REGON","NIP","KRS","Numer uczelni nadany przez ministra","Numer wpisu do ewidencji uczelni niepublicznych","Numer rejestru instytutów PAN","Strona www","Adres e-mail","Telefon","Adres skrzynki podawczej","Kraj","Województwo","Adres - ulica","Adres - numer","Adres - kod pocztowy","Adres - miasto","Dane osoby kierującej podmiotem","Identyfikator osoby kierującej podmiotem","Skład federacji - Nazwa instytucji","Skład federacji - Identyfikator instytucji","Skład federacji - W federacji od","Skład federacji - W federacji do","Nazwy - Nazwa","Nazwy - Data nadania nazwy","Instytucje poprzedzające - Nazwa instytucji","Instytucje poprzedzające - ID instytucji","Instytucje poprzedzające - REGON","Instytucje poprzedzające - NIP","Instytucje poprzedzające - KRS","Instytucje poprzedzające - Numer w rejestrze PAN","Instytucje poprzedzające - Numer w ewidencji uczelni niepublicznych","Instytucje poprzedzające - Organ nadzorujący","Instytucje poprzedzające - Rodzaj przekształcenia","Instytucje poprzedzające - Data przekształcenia","Instytucje dziedziczące - Nazwa instytucji","Instytucje dziedziczące - ID instytucji","Instytucje dziedziczące - REGON","Instytucje dziedziczące - NIP","Instytucje dziedziczące - KRS","Instytucje dziedziczące - Numer w rejestrze PAN","Instytucje dziedziczące - Numer w ewidencji uczelni niepublicznych","Instytucje dziedziczące - Organ nadzorujący","Instytucje dziedziczące - Rodzaj przekształcenia","Instytucje dziedziczące - Data przekształcenia","Historia zmian organu - Organ nadzorujący","Historia zmian organu - Data przypisania do organu","Historia zmian statusu - Status","Historia zmian statusu - Data nadania statusu","Historia zmian typu - Typ","Historia zmian typu - Data nadania typu","Historia zmian adresu - Adres","Historia zmian adresu - Data otrzymania adresu"
"11","2d00d06e-140e-46c4-be04-bf77ae1c73ca","Akademia Ekonomiczno-Humanistyczna w Warszawie","2003-01-23","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","","akademicka","","017280390","5252208719","","112","261","","http://www.vizja.pl","rektorat@vizja.pl","225365411","/AEHWarszawa/skrytka","Polska","mazowieckie","ul. Okopowa","59","01-043","Warszawa","Konrad Janowski - Rektor","e87443e7-1a12-4e99-b2f9-19c85c3479d4",,,,,"Wyższa Szkoła Finansów i Zarządzania w Warszawie","2003-01-23","Wyższa Szkoła Technologii Informatycznych w Warszawie","f5e19824-0bd7-4e25-a8bf-b1a5f3cf4268","015829362","5272446422","","","308","Minister Edukacji i Nauki (poprzednio MNiSW)","Włączenie","2019-10-01",,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2003-01-23","Działająca","2003-01-23","akademicka","2003-01-23","ul. Pawia 55, 01-030 Warszawa, woj. mazowieckie, Polska","2003-01-23"
"12","2d00d06e-140e-46c4-be04-bf77ae1c73ca","Akademia Ekonomiczno-Humanistyczna w Warszawie","2003-01-23","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","","akademicka","","017280390","5252208719","","112","261","","http://www.vizja.pl","rektorat@vizja.pl","225365411","/AEHWarszawa/skrytka","Polska","mazowieckie","ul. Okopowa","59","01-043","Warszawa","Konrad Janowski - Rektor","e87443e7-1a12-4e99-b2f9-19c85c3479d4",,,,,"Wyższa Szkoła Finansów i Zarządzania w Warszawie","2003-01-23","Wyższa Szkoła Technologii Informatycznych w Warszawie","f5e19824-0bd7-4e25-a8bf-b1a5f3cf4268","015829362","5272446422","","","308","Minister Edukacji i Nauki (poprzednio MNiSW)","Włączenie","2019-10-01",,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2003-01-23","Działająca","2003-01-23","akademicka","2003-01-23","ul. Okopowa 59, 01-043 Warszawa, woj. mazowieckie, Polska","2019-09-12"
"13","2d00d06e-140e-46c4-be04-bf77ae1c73ca","Akademia Ekonomiczno-Humanistyczna w Warszawie","2003-01-23","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","","akademicka","","017280390","5252208719","","112","261","","http://www.vizja.pl","rektorat@vizja.pl","225365411","/AEHWarszawa/skrytka","Polska","mazowieckie","ul. Okopowa","59","01-043","Warszawa","Konrad Janowski - Rektor","e87443e7-1a12-4e99-b2f9-19c85c3479d4",,,,,"Wyższa Szkoła Finansów i Zarządzania w Warszawie","2003-01-23","Wyższa Szkoła Zarządzania i Marketingu w Sochaczewie","6f5daa97-e01a-43e9-a4ed-0d48cf7c1dbe","750074957","8371339665","","","113","Minister Edukacji i Nauki (poprzednio MNiSW)","Włączenie","2019-10-01",,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2003-01-23","Działająca","2003-01-23","akademicka","2003-01-23","ul. Pawia 55, 01-030 Warszawa, woj. mazowieckie, Polska","2003-01-23"
"14","2d00d06e-140e-46c4-be04-bf77ae1c73ca","Akademia Ekonomiczno-Humanistyczna w Warszawie","2003-01-23","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","","akademicka","","017280390","5252208719","","112","261","","http://www.vizja.pl","rektorat@vizja.pl","225365411","/AEHWarszawa/skrytka","Polska","mazowieckie","ul. Okopowa","59","01-043","Warszawa","Konrad Janowski - Rektor","e87443e7-1a12-4e99-b2f9-19c85c3479d4",,,,,"Wyższa Szkoła Finansów i Zarządzania w Warszawie","2003-01-23","Wyższa Szkoła Zarządzania i Marketingu w Sochaczewie","6f5daa97-e01a-43e9-a4ed-0d48cf7c1dbe","750074957","8371339665","","","113","Minister Edukacji i Nauki (poprzednio MNiSW)","Włączenie","2019-10-01",,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2003-01-23","Działająca","2003-01-23","akademicka","2003-01-23","ul. Okopowa 59, 01-043 Warszawa, woj. mazowieckie, Polska","2019-09-12"
"15","1cb32064-70d2-4de8-b43f-8e67b8a4286b","Akademia Finansów i Biznesu Vistula","1992-01-22","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","","akademicka","","011021150","5260009816","","091","2","","http://www.vistula.edu.pl","info@vistula.edu.pl","+48 22-45-72-300"," /AFiBV-Warszawa/SkrzynkaESP","Polska","mazowieckie","ul. Stokłosy","3","02-787","Warszawa","Wawrzyniec Konarski - Rektor","f3e77bfd-501b-47b3-ae3f-ded8652fa150",,,,,"Akademia Finansów i Biznesu Vistula","2012-11-02","Akademia Humanistyczna im. Aleksandra Gieysztora w Pułtusku","187760da-93f3-452f-962e-dcbd2218aacc","130176830","5681149880","","","41","Minister Edukacji i Nauki (poprzednio MNiSW)","Włączenie","2019-09-30",,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1992-01-22","Działająca","1992-01-22","akademicka","1992-01-22","ul. Stokłosy 3, 02-787 Warszawa, woj. mazowieckie, Polska","1992-01-22"
"16","1cb32064-70d2-4de8-b43f-8e67b8a4286b","Akademia Finansów i Biznesu Vistula","1992-01-22","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","","akademicka","","011021150","5260009816","","091","2","","http://www.vistula.edu.pl","info@vistula.edu.pl","+48 22-45-72-300"," /AFiBV-Warszawa/SkrzynkaESP","Polska","mazowieckie","ul. Stokłosy","3","02-787","Warszawa","Wawrzyniec Konarski - Rektor","f3e77bfd-501b-47b3-ae3f-ded8652fa150",,,,,"Akademia Finansów w Warszawie","1992-01-22","Akademia Humanistyczna im. Aleksandra Gieysztora w Pułtusku","187760da-93f3-452f-962e-dcbd2218aacc","130176830","5681149880","","","41","Minister Edukacji i Nauki (poprzednio MNiSW)","Włączenie","2019-09-30",,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1992-01-22","Działająca","1992-01-22","akademicka","1992-01-22","ul. Stokłosy 3, 02-787 Warszawa, woj. mazowieckie, Polska","1992-01-22"
"17","919617f6-b49f-4075-b60b-465136e8dcb3","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie","1919-10-20","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia publiczna","Nie","","","","akademicka","","000001577","6750001923","","267","","","http://www.agh.edu.pl","biuro@agh.edu.pl","12-617-45-54","/AGH/SkrytkaESP","Polska","małopolskie","al. Aleja Adama Mickiewicza","30","30-059","Kraków","Jerzy Lis - Rektor","",,,,,"Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie","1919-10-20",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1919-10-20","Działająca","1919-10-20","akademicka","1919-10-20","al. Aleja Adama Mickiewicza 30, 30-059 Kraków, woj. małopolskie, Polska","1919-10-20"
"18","58dcc6b4-cc40-4c1f-ad2d-46bc7fa9f3b5","Akademia Górnośląska im. Wojciecha Korfantego w Katowicach","1994-06-15","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","","akademicka","","272199522","9540007281","","134","36","","http://www.gwsh.pl","rektor@gwsh.pl","323570539","/GWSH-KATOWICE/SkrytkaESP","Polska","śląskie","ul. Harcerzy Września 1939","3","40-659","Katowice","Krzysztof Józef Szaflarski - Rektor","45a395c8-26b3-4a72-a8f8-d4a94a4f31b4",,,,,"Akademia Górnośląska im. Wojciecha Korfantego w Katowicach","2022-07-07",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1994-06-15","Działająca","1994-06-15","akademicka","1994-06-15","ul. Harcerzy Września 1939 3, 40-659 Katowice, woj. śląskie, Polska","1994-06-15"
"19","58dcc6b4-cc40-4c1f-ad2d-46bc7fa9f3b5","Akademia Górnośląska im. Wojciecha Korfantego w Katowicach","1994-06-15","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","","akademicka","","272199522","9540007281","","134","36","","http://www.gwsh.pl","rektor@gwsh.pl","323570539","/GWSH-KATOWICE/SkrytkaESP","Polska","śląskie","ul. Harcerzy Września 1939","3","40-659","Katowice","Krzysztof Józef Szaflarski - Rektor","45a395c8-26b3-4a72-a8f8-d4a94a4f31b4",,,,,"Górnośląska Wyższa Szkoła Handlowa im. Wojciecha Korfantego w Katowicach","1994-06-15",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1994-06-15","Działająca","1994-06-15","akademicka","1994-06-15","ul. Harcerzy Września 1939 3, 40-659 Katowice, woj. śląskie, Polska","1994-06-15"
"20","669fee72-713b-4509-99a3-81f522cb7159","Akademia Humanistyczno-Ekonomiczna w Łodzi","1993-10-05","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","","akademicka","","470810663","7251014115","","120","30","","http://www.ahe.lodz.pl","rektorat@ahe.lodz.pl","42 631-58-06 ","/AKADEMIA_LODZ/SkrytkaESP","Polska","łódzkie","ul. dr. Seweryna Sterlinga","26","90-212","Łódź","ELŻBIETA dr hab. DUL-LEDWOSIŃSKA - Rektor","0be99089-a8fc-4378-9409-515197a73c4d",,,,,"Akademia Humanistyczno-Ekonomiczna w Łodzi","1993-10-05",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1993-10-05","Działająca","1993-10-05","akademicka","1993-10-05","ul. dr. Seweryna Sterlinga 26, 90-212 Łódź, woj. łódzkie, Polska","1993-10-05"
"21","bafdd534-9afd-4d8d-9412-30dc2d48ab6b","Akademia im. Jakuba z Paradyża","1998-07-21","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia publiczna","Nie","","","","akademicka","","365193022","1040001590","","332","","","http://www.ajp.edu.pl","rektor@ajp.edu.pl","95-721-60-22","/AJPGW/SkrytkaESP","Polska","lubuskie","ul. Teatralna","25","66-400","Gorzów Wielkopolski","Elżbieta Skorupska-Raczyńska - Rektor","",,,,,"Akademia im. Jakuba z Paradyża","2016-09-01",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1998-07-21","Działająca","1998-07-21","zawodowa","1998-07-21","ul. Teatralna 25, 66-400 Gorzów Wielkopolski, woj. lubuskie, Polska","1998-07-21"
"22","bafdd534-9afd-4d8d-9412-30dc2d48ab6b","Akademia im. Jakuba z Paradyża","1998-07-21","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia publiczna","Nie","","","","akademicka","","365193022","1040001590","","332","","","http://www.ajp.edu.pl","rektor@ajp.edu.pl","95-721-60-22","/AJPGW/SkrytkaESP","Polska","lubuskie","ul. Teatralna","25","66-400","Gorzów Wielkopolski","Elżbieta Skorupska-Raczyńska - Rektor","",,,,,"Akademia im. Jakuba z Paradyża","2016-09-01",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1998-07-21","Działająca","1998-07-21","akademicka","2023-01-13","ul. Teatralna 25, 66-400 Gorzów Wielkopolski, woj. lubuskie, Polska","1998-07-21"
"23","bafdd534-9afd-4d8d-9412-30dc2d48ab6b","Akademia im. Jakuba z Paradyża","1998-07-21","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia publiczna","Nie","","","","akademicka","","365193022","1040001590","","332","","","http://www.ajp.edu.pl","rektor@ajp.edu.pl","95-721-60-22","/AJPGW/SkrytkaESP","Polska","lubuskie","ul. Teatralna","25","66-400","Gorzów Wielkopolski","Elżbieta Skorupska-Raczyńska - Rektor","",,,,,"Państwowa Wyższa Szkoła Zawodowa w Gorzowie Wielkopolskim","1998-07-21",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1998-07-21","Działająca","1998-07-21","zawodowa","1998-07-21","ul. Teatralna 25, 66-400 Gorzów Wielkopolski, woj. lubuskie, Polska","1998-07-21"
"24","bafdd534-9afd-4d8d-9412-30dc2d48ab6b","Akademia im. Jakuba z Paradyża","1998-07-21","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia publiczna","Nie","","","","akademicka","","365193022","1040001590","","332","","","http://www.ajp.edu.pl","rektor@ajp.edu.pl","95-721-60-22","/AJPGW/SkrytkaESP","Polska","lubuskie","ul. Teatralna","25","66-400","Gorzów Wielkopolski","Elżbieta Skorupska-Raczyńska - Rektor","",,,,,"Państwowa Wyższa Szkoła Zawodowa w Gorzowie Wielkopolskim","1998-07-21",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1998-07-21","Działająca","1998-07-21","akademicka","2023-01-13","ul. Teatralna 25, 66-400 Gorzów Wielkopolski, woj. lubuskie, Polska","1998-07-21"
"25","bafdd534-9afd-4d8d-9412-30dc2d48ab6b","Akademia im. Jakuba z Paradyża","1998-07-21","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia publiczna","Nie","","","","akademicka","","365193022","1040001590","","332","","","http://www.ajp.edu.pl","rektor@ajp.edu.pl","95-721-60-22","/AJPGW/SkrytkaESP","Polska","lubuskie","ul. Teatralna","25","66-400","Gorzów Wielkopolski","Elżbieta Skorupska-Raczyńska - Rektor","",,,,,"Państwowa Wyższa Szkoła Zawodowa im. Jakuba z Paradyża w Gorzowie Wielkopolskim","2013-09-26",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1998-07-21","Działająca","1998-07-21","zawodowa","1998-07-21","ul. Teatralna 25, 66-400 Gorzów Wielkopolski, woj. lubuskie, Polska","1998-07-21"
"26","bafdd534-9afd-4d8d-9412-30dc2d48ab6b","Akademia im. Jakuba z Paradyża","1998-07-21","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia publiczna","Nie","","","","akademicka","","365193022","1040001590","","332","","","http://www.ajp.edu.pl","rektor@ajp.edu.pl","95-721-60-22","/AJPGW/SkrytkaESP","Polska","lubuskie","ul. Teatralna","25","66-400","Gorzów Wielkopolski","Elżbieta Skorupska-Raczyńska - Rektor","",,,,,"Państwowa Wyższa Szkoła Zawodowa im. Jakuba z Paradyża w Gorzowie Wielkopolskim","2013-09-26",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1998-07-21","Działająca","1998-07-21","akademicka","2023-01-13","ul. Teatralna 25, 66-400 Gorzów Wielkopolski, woj. lubuskie, Polska","1998-07-21"
"27","98bc3a1e-ad8a-4713-be5a-2e66d2a67e41","Akademia Jagiellońska w Toruniu","2003-09-09","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","","akademicka","","871681089","9562110170","","204","281","","http://www.aj.torun.pl","kontakt@aj.torun.pl","695000011","/KolegiumJagiellonsk/SkrytkaESP","Polska","kujawsko-pomorskie","ul. Prosta","4","87-100","Toruń","Joanna Maria Górska-Szymczak - Rektor","8394f1e4-74f9-4173-bd93-5d75b77e4bd2",,,,,"Akademia Jagiellońska w Toruniu","2022-12-09",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2003-09-09","Działająca","2003-09-09","zawodowa","2003-09-09","ul. Prosta 4, 87-100 Toruń, woj. kujawsko-pomorskie, Polska","2003-09-09"
